Nombre,Cámara /Senado,Año en el que asume,Partido,Signo Político,Profesión
Karol Cariola,Cámara,2022,PCCH,Extrema Izq,Matrona
Nathalie Castillo,Cámara,2022,PCCH,Extrema Izq,Periodista
Daniella Cicardini,Cámara,2022,PS,Izquierda,Biologa marina
Sofía Cid,Cámara,2022,RN,Derecha,Ingeniera
Sara Concha,Cámara,2022,PCC,Extrema Derecha,Fonoaudiologa
María Luisa Cordero,Cámara,2022,RN,Derecha,Médico
Catalina del Real,Cámara,2022,RN,Derecha,Ingeniera
Viviana Delgado,Cámara,2022,PEVC,Izquierda,Política
Camila Flores,Cámara,2022,RN,Derecha,Abogada
Lorena Fries,Cámara,2022,CS,Izquierda,Abogada
Ana María Gazmuri,Cámara,2022,COM,Izquierda,Actriz
Marta Gónzalez,Cámara,2022,PPD,Centro Izq,Técnico en Química
Carmen Hertz,Cámara,2022,PCCH,Extrema Izq,Abogada
Pamela Jiles,Cámara,2022,PH,Izquierda,Abogada
Paula Labra,Cámara,2022,RN,Derecha,Ingeniera
Carolina Marzán,Cámara,2022,PPD,Centro Izq,Actriz
Karen Medina,Cámara,2022,PDG,Centro,Asistente en Educación
Claudia Mix,Cámara,2022,COM,Izq,Política
Helia Molina,Cámara,2022,PPD,Centro Izq,Médico 
Carla Morales,Cámara,2022,RN,Derecha,Asistente Social
Javiera Morales,Cámara,2022,CS,Izquierda,Abogada
Francesca Muñoz,Cámara,2022,RN,Derecha,Profesora
Camila Musante,Cámara,2022,COM,Izquierda,Abogada
Gloria Naveillan,Cámara,2022,PRCH,Extrema Derecha,Publicista
Emilia Nuyado,Cámara,2022,PS,Izquierda,Auditora
Coca Ñanco,Cámara,2022,FA,Izquierda,Política
Erika Olivera,Cámara,2022,RN,Derecha,Ex atleta
Maite Orsini,Cámara,2022,FA,Izquierda,Abogada
Ximena Ossandón,Cámara,2022,RN,Derecha,Profesora
Catalina Pérez,Cámara,2022,RD,Izquierda,Abogada
Joanna Pérez,Cámara,2022,PDC,Centro,Adm. Publica
Marlene Pérez,Cámara,2022,UDI,Derecha,Trabajadora Social
Lorena Pizarro,Cámara,2022,PCCH,Extrema Izq,Educadora
Alejandra Placencia,Cámara,2022,PCCH,Extrema Izq,Profesora
Marcia Raphael,Cámara,2022,RN,Derecha,Ingeniera
Marcela Riquelme,Cámara,2022,CS,Izquierda,Abogada
Camila Rojas,Cámara,2022,COM,Izquierda,Adm. Publica
Natalina Romero,Cámara,2022,UDI,Derecha,Periodista
Clara Sagardía,Cámara,2022,CS,Izquierda,Abogada
Daniela Serrano,Cámara,2022,PCCH,Extrema Izq,Abogada
Marisela Santibáñez,Cámara,2022,PCCH,Extrema Izq,Actriz
Emilia Schneider,Cámara,2022,COM,Izquierda,Política
Carolina Tello,Cámara,2022,FA,Izquierda,Abogada
Consuelo Veloso,Cámara,2022,RD,Izquierda,Política
Flor Weisse,Cámara,2022,UDI,Derecha,Ingeniera
Gael Yeomans,Cámara,2022,FA,Izquierda,Abogada
Yasna Provoste ,Senado,2022,PDC,Centro,Profesora de Educación Física
Isabel Allende ,Senado,2021,PS,Izquierda,Socióloga 
Ximena Rincón ,Senado,2021,DC,Centro,Abogada
Carmen Aravena ,Senado ,2021,RN,Derecha,Agrónoma
Ximena Ordenes ,Senado ,2021,PPD,Centro Izquierda ,Socióloga 
Paulina Núñez ,Senado ,2021,RN,Derecha,Abogada 
Claudia Pascual,Senado ,2021,PCCh,Extrema Izquierda ,Antropóloga 
Fabiola Campillai ,Senado ,2021,IND,Centro,Política 
Alejandra Sepulveda ,Senado ,2021,FRVS,Izquierda ,Médico Veterinario 
Loreto Carvajal ,Senado ,2021,PPD,Centro Izquierda ,Egresada de Derecho
María José Gatica ,Senado ,2021,RN,Derecha ,Ingeniera civil en Construcción 
Tatiana Urrutia ,Cámara,2026,FA,Izquierda ,Política 
Javiera Rodríguez ,Cámara,2026,PRCh,Extrema Derecha,Periodista
Tamara Ramírez,Cámara,2026,PDG,Centro,Política 
Emilia Schneider ,Cámara,2026,FA,Izquierda ,Dirigente Estudiantil
Lorena Fries ,Cámara,2026,FA,Izquierda ,Abogada
Irací Hassler ,Cámara,2026,PCCh,Extrema Izquierda ,Igeniera Comercial
Claudia Mora ,Cámara,2026,RN,Derecha ,Socióloga
Constanza Hube ,Cámara,2026,UDI,Derecha ,Abogada 
Catalina del Real,Cámara,2026,RN,Derecha,Ingeniera
Constanza Schönhaut,Cámara,2026,FA,Izquierda ,Abogada
Macarena Santelices ,Cámara,2026,PRCh,Extrema Derecha,Periodista 
Pamela Jiles,Cámara,2026,PDG,Centro,Periodista 
Zandra Parisi,Cámara,2026,PDG,Centro,Educadora de Párvulos
Ana María Gazmuri ,Cámara,2026,AH,Izquierda,Actriz 
Ximena Osandón ,Cámara,2026,RN,Derecha,Profesora 
Daniela Serrano,Cámara,2026,PCCh,Extrema Izquierda ,Estudiante de Derecho
Gael Yeomans ,Cámara,2026,FA,Izquierda ,Abogada
Lorena Pizarro ,Cámara,2026,PCCh,Extrema Izquierda ,Educadora de Párvulos
Valentina Becerra ,Cámara,2026,PRCh,Extrema Derecha,Política 
Marisela Santibáñez ,Cámara,2026,PCCh,Extrema Izquierda ,Actriz
Valentina Cáceres ,Cámara,2026,FA,Izquierda ,Egresada de Derecho
Natalia Romero ,Cámara,2026,UDI,Derecha,Periodista
Carolina Cucumides ,Cámara,2026,PS,Izquierda,Ingeniera Comercial
Priscilla Castillo,Cámara,2026,PDC ,Centro,Política 
Consuelo Veloso,Cámara,2026,PR,Centro Izquierda ,Política
Sara Concha ,Cámara,2026,PSC,Extrema Derecha,Politica 
Francesca Muñoz,Cámara,2026,PSC,Extrema Derecha,Profesora
Paz Charpentier ,Cámara,2026,PRCh,Extrema Derecha,Abogada
Marlene Pérez,Cámara,2026,UDI,Derecha,Trabajadora Social 
Flore Weisse ,Cámara,2026,UDI,Derecha,Ingeniera Comercial
Joanna Pérez ,Cámara,2026,DEM,Centro,Admisntradora Pública 
Lilian Betancurt,Cámara,2026,PDG,Centro,Política
Gloria Naveillan ,Cámara,2026,PNL,Extrema Derecha,Publicista 
Andrea Parra ,Cámara,2026,PPD,Centro Izquierda ,Enfermera 
Flor Contreras ,Cámara,2026,PDG,Centro,Política 
Emilia Nuyado ,Cámara,2026,PS,Izquierda,Auditora 
Paulina muñoz ,Cámara,2026,PNL,Extrema Derecha,Ingeniera Industrial 
Claudia Reyes,Cámara,2026,PRCh,Extrema Derecha,Política 
Andrea Macías ,Cámara,2026,PS ,Izquierda,Socióloga 
Alejandra Valdebenito,Cámara,2026,UDI,Derecha,Política 
