Nombre,Cámara /Senado,Año en el que asume,Partido,Signo Político,Profesión
Maya Fernandez,Cámara,2017,PS,Izquierda,Biologa
Camila Flores,Cámara,2017,RN,Derecha,Abogada
Cristina Girardi,Cámara,2017,PPD,Centro - Izquierda,Antropologa
Marcela Hernando,Cámara,2017,PR,Centro - Izquierda,Médico
Carmen Hertz,Cámara,2017,PCCH,Extrema - Izquierda,Abogada
María José Hoffmann,Cámara,2017,UDI,Derecha,Politologa
Pamela Jiles,Cámara,2017,FA,Izquierda,Periodista
Aracely Leuquén,Cámara,2017,RN,Derecha,Asistente Social
Karin Luck,Cámara,2017,RN,Derecha,Relacionadora Pública
Carolina Marzán,Cámara,2017,PPD,Centro - Izquierda,Actriz
Claudia Mix,Cámara,2017,FA,Izquierda,Política
Francesca Muñoz,Cámara,2017,RN,Derecha,Profesora
Paulina Nuñez,Cámara,2017,RN,Derecha,Abogada
Emilia Nuyado,Cámara,2017,PS,Izquierda,Auditora
Erika Olivera,Cámara,2017,RN,Derecha,Ex Atleta
Maite Orsini,Cámara,2017,FA,Izquierda,Abogada
Ximena Ossandón,Cámara,2017,RN,Derecha,Profesora
Andrea Parra,Cámara,2017,PPD,Centro - Izquierda,Enfermera
Catalina Pérez,Cámara,2017,RD,Izquierda,Abogada
Joanna Pérez,Cámara,2017,PDC,Centro,Adm. Pública
Camila Rojas,Cámara,2017,FA,Izquierda,Adm. Pública
Marcela Sabat,Cámara,2017,RN,Derecha,Política
Marisela Santibáñez,Cámara,2017,PCCH,Izquierda,Actriz
Alejandra Sepulveda,Cámara,2017,PPD,Centro - Izquierda,Veterinaria
Virginia Troncoso,Cámara,2017,UDI,Derecha,Política
Natalia Castillo,Cámara,2017,RD,Izquierda,
Karol Cariola,Cámara,2017,PCCh,Extrema - Izquierda,Matrona
Camila Vallejo,Cámara,2017,PCCH,Extrema - Izquierda,Geografa
Gael Yeomans,Cámara,2017,FA,Izquierda,Abogada
Daniella Cicardini,Cámara,2017,PS,Izquierda,Biologa marina
Jenny Álvarez,Cámara,2017,PS,Izquierda,
Loreto Carvajal,Cámara,2017,PDC,Centro,
Sandra Amar,Cámara,2017,UDI,Derecha,
Karol Cariola,Cámara,2021,PCCH,Extrema - Izquierda,Matrona
Nathalie Castillo,Cámara,2021,PCCH,Extrema - Izquierda,Periodista
Daniella Cicardini,Cámara,2021,PS,Izquierda,Biologa marina
Sofía Cid,Cámara,2021,RN,Derecha,Ingeniera
Sara Concha,Cámara,2021,PSC,Extrema - Derecha,Fonoaudiologa
María Luisa Cordero,Cámara,2021,RN,Derecha,Médico
Catalina del Real,Cámara,2021,RN,Derecha,Ingeniera
Viviana Delgado,Cámara,2021,PEVC,Izquierda,Política
Camila Flores,Cámara,2021,RN,Derecha,Abogada
Lorena Fries,Cámara,2021,CS,Izquierda,Abogada
Ana María Gazmuri,Cámara,2021,COM,Izquierda,Actriz
Marta Gónzalez,Cámara,2021,PPD,Centro - Izquierda,Técnico en Química
Carmen Hertz,Cámara,2021,PCCH,Extrema - Izquierda,Abogada
Pamela Jiles,Cámara,2021,PH,Izquierda,Abogada
Paula Labra,Cámara,2021,RN,Derecha,Ingeniera
Carolina Marzán,Cámara,2021,PPD,Centro - Izquierda,Actriz
Karen Medina,Cámara,2021,PDG,Centro,Asistente en Educación
Claudia Mix,Cámara,2021,COM,Izquierda,Política
Helia Molina,Cámara,2021,PPD,Centro - Izquierda,Médico
Carla Morales,Cámara,2021,RN,Derecha,Asistente Social
Javiera Morales,Cámara,2021,CS,Izquierda,Abogada
Francesca Muñoz,Cámara,2021,RN,Derecha,Profesora
Camila Musante,Cámara,2021,COM,Izquierda,Abogada
Gloria Naveillan,Cámara,2021,PRCH,Extrema - Derecha,Publicista
Emilia Nuyado,Cámara,2021,PS,Izquierda,Auditora
Coca Ñanco,Cámara,2021,FA,Izquierda,Política
Erika Olivera,Cámara,2021,RN,Derecha,Ex atleta
Maite Orsini,Cámara,2021,FA,Izquierda,Abogada
Ximena Ossandón,Cámara,2021,RN,Derecha,Profesora
Catalina Pérez,Cámara,2021,RD,Izquierda,Abogada
Joanna Pérez,Cámara,2021,PDC,Centro,Adm. Publica
Marlene Pérez,Cámara,2021,UDI,Derecha,Trabajadora Social
Lorena Pizarro,Cámara,2021,PCCH,Extrema - Izquierda,Educadora
Alejandra Placencia,Cámara,2021,PCCH,Extrema - Izquierda,Profesora
Marcia Raphael,Cámara,2021,RN,Derecha,Ingeniera
Marcela Riquelme,Cámara,2021,CS,Izquierda,Abogada
Camila Rojas,Cámara,2021,COM,Izquierda,Adm. Publica
Natalina Romero,Cámara,2021,UDI,Derecha,Periodista
Clara Sagardía,Cámara,2021,CS,Izquierda,Abogada
